classifier,dataset,interpolation,batch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,BeetleFly,fourier,102,90,1.0,0.8484848484848485,0.1515151515151515,0.7070707070707071,0.29292929292929293
MLP,BeetleFly,linear,102,90,1.0,0.8058252427184466,0.19417475728155342,0.6796116504854369,0.3203883495145631
MLP,BeetleFly,fourier,108,90,1.0,0.8333333333333334,0.16666666666666663,0.7,0.30000000000000004
MLP,BeetleFly,linear,108,90,1.0,0.8333333333333334,0.16666666666666663,0.7,0.30000000000000004
MLP,BeetleFly,fourier,114,90,1.0,0.8222222222222222,0.1777777777777778,0.6444444444444445,0.3555555555555555
MLP,BeetleFly,linear,114,90,1.0,0.8222222222222222,0.1777777777777778,0.6444444444444445,0.3555555555555555
MLP,BeetleFly,fourier,120,90,1.0,0.8333333333333334,0.16666666666666663,0.6777777777777778,0.3222222222222222
MLP,BeetleFly,linear,120,90,1.0,0.8333333333333334,0.16666666666666663,0.6777777777777778,0.3222222222222222
MLP,BeetleFly,fourier,126,90,1.0,0.8571428571428571,0.1428571428571429,0.6428571428571429,0.3571428571428571
MLP,BeetleFly,linear,126,90,1.0,0.8314606741573034,0.1685393258426966,0.6179775280898876,0.3820224719101124
MLP,BeetleFly,fourier,12,90,1.0,0.7777777777777778,0.2222222222222222,0.8,0.19999999999999996
MLP,BeetleFly,linear,12,90,1.0,1.0,0.0,0.9761904761904762,0.023809523809523836
MLP,BeetleFly,fourier,18,90,1.0,0.782608695652174,0.21739130434782605,0.782608695652174,0.21739130434782605
MLP,BeetleFly,linear,18,90,1.0,0.8888888888888888,0.11111111111111116,0.8253968253968254,0.17460317460317465
MLP,BeetleFly,fourier,24,90,1.0,0.9148936170212766,0.08510638297872342,0.7872340425531915,0.21276595744680848
MLP,BeetleFly,linear,24,90,1.0,0.8064516129032258,0.19354838709677424,0.7580645161290323,0.24193548387096775
MLP,BeetleFly,fourier,30,90,1.0,0.8783783783783784,0.1216216216216216,0.8108108108108109,0.18918918918918914
MLP,BeetleFly,linear,30,90,1.0,0.9036144578313253,0.09638554216867468,0.8433734939759037,0.15662650602409633
MLP,BeetleFly,fourier,36,90,1.0,0.8367346938775511,0.16326530612244894,0.7346938775510204,0.26530612244897955
MLP,BeetleFly,linear,36,90,1.0,0.8796296296296297,0.12037037037037035,0.7777777777777778,0.2222222222222222
MLP,BeetleFly,fourier,42,90,1.0,0.8842975206611571,0.11570247933884292,0.7933884297520661,0.20661157024793386
MLP,BeetleFly,linear,42,90,1.0,0.8076923076923077,0.1923076923076923,0.7211538461538461,0.27884615384615385
MLP,BeetleFly,fourier,48,90,1.0,0.8709677419354839,0.12903225806451613,0.7419354838709677,0.25806451612903225
MLP,BeetleFly,linear,48,90,1.0,0.8907563025210085,0.10924369747899154,0.7815126050420168,0.2184873949579832
MLP,BeetleFly,fourier,54,90,1.0,0.8307692307692308,0.16923076923076918,0.7846153846153846,0.2153846153846154
MLP,BeetleFly,linear,54,90,1.0,0.835820895522388,0.16417910447761197,0.7910447761194029,0.20895522388059706
MLP,BeetleFly,fourier,60,90,1.0,0.8307692307692308,0.16923076923076918,0.7307692307692307,0.2692307692307693
MLP,BeetleFly,linear,60,90,1.0,0.8444444444444444,0.15555555555555556,0.7333333333333333,0.2666666666666667
MLP,BeetleFly,fourier,66,90,1.0,0.8461538461538461,0.15384615384615385,0.7435897435897436,0.2564102564102564
MLP,BeetleFly,linear,66,90,1.0,0.8145161290322581,0.18548387096774188,0.7419354838709677,0.25806451612903225
MLP,BeetleFly,fourier,6,90,1.0,0.7674418604651163,0.2325581395348837,0.7674418604651163,0.2325581395348837
MLP,BeetleFly,linear,6,90,1.0,0.7619047619047619,0.23809523809523814,0.7619047619047619,0.23809523809523814
MLP,BeetleFly,fourier,72,90,1.0,0.847457627118644,0.15254237288135597,0.7711864406779662,0.22881355932203384
MLP,BeetleFly,linear,72,90,1.0,0.8532110091743119,0.14678899082568808,0.7798165137614679,0.22018348623853212
MLP,BeetleFly,fourier,78,90,1.0,0.8135593220338984,0.18644067796610164,0.6864406779661016,0.31355932203389836
MLP,BeetleFly,linear,78,90,1.0,0.811965811965812,0.18803418803418803,0.6923076923076923,0.3076923076923077
MLP,BeetleFly,fourier,84,90,1.0,0.8288288288288288,0.1711711711711712,0.7027027027027027,0.29729729729729726
MLP,BeetleFly,linear,84,90,1.0,0.8942307692307693,0.10576923076923073,0.7307692307692307,0.2692307692307693
MLP,BeetleFly,fourier,90,90,1.0,0.8095238095238095,0.19047619047619047,0.7238095238095238,0.2761904761904762
MLP,BeetleFly,linear,90,90,1.0,0.8095238095238095,0.19047619047619047,0.7238095238095238,0.2761904761904762
MLP,BeetleFly,fourier,96,90,1.0,0.8137254901960784,0.18627450980392157,0.7058823529411765,0.2941176470588235
MLP,BeetleFly,linear,96,90,1.0,0.8058252427184466,0.19417475728155342,0.6990291262135923,0.30097087378640774
MLP,Earthquakes,fourier,102,90,1.0,0.7918486171761281,0.2081513828238719,0.8165938864628821,0.1834061135371179
MLP,Earthquakes,linear,102,90,1.0,0.7907647907647908,0.20923520923520922,0.8138528138528138,0.18614718614718617
MLP,Earthquakes,fourier,108,90,1.0,0.7454545454545455,0.2545454545454545,0.7742424242424243,0.2257575757575757
MLP,Earthquakes,linear,108,90,1.0,0.7416918429003021,0.2583081570996979,0.7719033232628398,0.22809667673716016
MLP,Earthquakes,fourier,114,90,1.0,0.7465857359635811,0.25341426403641887,0.7314112291350531,0.2685887708649469
