classifier,dataset,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,BeetleFly,102,90,1.0,0.8775510204081632,0.12244897959183676,0.7441860465116279,0.2558139534883721
MLP,BeetleFly,108,90,1.0,0.8205128205128205,0.17948717948717952,0.725,0.275
MLP,BeetleFly,114,90,1.0,0.8378378378378378,0.16216216216216217,0.6190476190476191,0.38095238095238093
MLP,BeetleFly,120,90,1.0,0.8571428571428571,0.1428571428571429,0.7021276595744681,0.2978723404255319
MLP,BeetleFly,126,90,1.0,0.825,0.17500000000000004,0.6388888888888888,0.36111111111111116
MLP,BeetleFly,12,90,1.0,0.7407407407407407,0.2592592592592593,0.7142857142857143,0.2857142857142857
MLP,BeetleFly,18,90,1.0,0.7522935779816514,0.24770642201834858,0.7807017543859649,0.2192982456140351
MLP,BeetleFly,24,90,1.0,0.7340425531914894,0.26595744680851063,0.6666666666666666,0.33333333333333337
MLP,BeetleFly,30,90,1.0,0.7156862745098039,0.28431372549019607,0.7254901960784313,0.27450980392156865
MLP,BeetleFly,36,90,1.0,0.7386363636363636,0.26136363636363635,0.7157894736842105,0.28421052631578947
MLP,BeetleFly,42,90,1.0,0.7654320987654321,0.23456790123456794,0.7142857142857143,0.2857142857142857
MLP,BeetleFly,48,90,1.0,0.8266666666666667,0.17333333333333334,0.7297297297297297,0.2702702702702703
MLP,BeetleFly,54,90,1.0,0.75,0.25,0.8142857142857143,0.18571428571428572
MLP,BeetleFly,60,90,1.0,0.7857142857142857,0.2142857142857143,0.7258064516129032,0.27419354838709675
MLP,BeetleFly,66,90,1.0,0.8888888888888888,0.11111111111111116,0.7,0.30000000000000004
MLP,BeetleFly,6,90,1.0,0.6698113207547169,0.33018867924528306,0.7884615384615384,0.21153846153846156
MLP,BeetleFly,72,90,1.0,0.8392857142857143,0.1607142857142857,0.6964285714285714,0.3035714285714286
MLP,BeetleFly,78,90,1.0,0.8333333333333334,0.16666666666666663,0.6923076923076923,0.3076923076923077
MLP,BeetleFly,84,90,1.0,0.8297872340425532,0.17021276595744683,0.673469387755102,0.326530612244898
MLP,BeetleFly,90,90,1.0,0.7719298245614035,0.22807017543859653,0.7021276595744681,0.2978723404255319
MLP,BeetleFly,96,90,1.0,0.8125,0.1875,0.6481481481481481,0.35185185185185186
MLP,Earthquakes,102,90,1.0,0.731638418079096,0.268361581920904,0.7368421052631579,0.26315789473684215
MLP,Earthquakes,108,90,1.0,0.7114624505928854,0.2885375494071146,0.7553956834532374,0.24460431654676262
MLP,Earthquakes,114,90,1.0,0.7283018867924528,0.2716981132075472,0.7700729927007299,0.22992700729927007
MLP,Earthquakes,120,90,1.0,0.7077464788732394,0.2922535211267606,0.7608695652173914,0.23913043478260865
MLP,Earthquakes,126,90,1.0,0.7038327526132404,0.2961672473867596,0.7601476014760148,0.2398523985239852
MLP,Earthquakes,12,90,1.0,0.7031831335262505,0.2968168664737495,0.7354627354627354,0.26453726453726456
MLP,Earthquakes,18,90,1.0,0.7051569506726457,0.2948430493273543,0.7373563218390805,0.2626436781609195
MLP,Earthquakes,24,90,1.0,0.7159005275056518,0.2840994724943482,0.7297101449275363,0.2702898550724637
MLP,Earthquakes,30,90,1.0,0.7329079307201458,0.2670920692798542,0.7437050359712231,0.25629496402877694
MLP,Earthquakes,36,90,1.0,0.7079002079002079,0.2920997920997921,0.729003359462486,0.27099664053751404
MLP,Earthquakes,42,90,1.0,0.7204574332909784,0.27954256670902156,0.7645536869340233,0.23544631306597674
MLP,Earthquakes,48,90,1.0,0.7006172839506173,0.2993827160493827,0.7312138728323699,0.26878612716763006
MLP,Earthquakes,54,90,1.0,0.715670436187399,0.284329563812601,0.7631578947368421,0.23684210526315785
MLP,Earthquakes,60,90,1.0,0.7036363636363636,0.2963636363636364,0.7688266199649737,0.2311733800350263
MLP,Earthquakes,66,90,1.0,0.7280334728033473,0.2719665271966527,0.7414141414141414,0.2585858585858586
MLP,Earthquakes,6,90,1.0,0.7037037037037037,0.2962962962962963,0.7233268671193016,0.2766731328806984
MLP,Earthquakes,72,90,1.0,0.7307692307692307,0.2692307692307693,0.7365145228215768,0.2634854771784232
MLP,Earthquakes,78,90,1.0,0.7189873417721518,0.28101265822784816,0.7562189054726368,0.24378109452736318
MLP,Earthquakes,84,90,1.0,0.7192118226600985,0.28078817733990147,0.7782909930715936,0.22170900692840645
MLP,Earthquakes,90,90,1.0,0.7270029673590505,0.27299703264094954,0.7484276729559748,0.2515723270440252
MLP,Earthquakes,96,90,1.0,0.69375,0.30625,0.7527777777777778,0.24722222222222223
MLP,OSULeaf,100,90,0.9449999928474426,0.5345528455284553,0.41044714731898735,0.2464065708418891,0.6985934220055535
MLP,OSULeaf,105,90,0.9449999928474426,0.5236139630390144,0.4213860298084282,0.24444444444444444,0.7005555484029982
MLP,OSULeaf,10,90,0.9449999928474426,0.5364549925165705,0.40854500033087215,0.5181916038751345,0.4268083889723081
MLP,OSULeaf,15,90,0.9449999928474426,0.5324274243360099,0.41257256851143276,0.4912442396313364,0.45375575321610623
MLP,OSULeaf,20,90,0.9449999928474426,0.5288501452885015,0.41614984755894113,0.4674185463659148,0.47758144648152784
MLP,OSULeaf,25,90,0.9449999928474426,0.5359342915811088,0.4090657012663338,0.453046953046953,0.4919530398004896
MLP,OSULeaf,30,90,0.9449999928474426,0.5176886792452831,0.42731131360215957,0.4374240583232078,0.5075759345242348
MLP,OSULeaf,35,90,0.9449999928474426,0.5100574712643678,0.4349425215830748,0.4209039548022599,0.5240960380451827
MLP,OSULeaf,40,90,0.9449999928474426,0.5298769771528998,0.4151230156945428,0.39948892674616693,0.5455110661012756
MLP,OSULeaf,45,90,0.9449999928474426,0.5142332415059688,0.4307667513414738,0.37971014492753624,0.5652898479199064
MLP,OSULeaf,50,90,0.9449999928474426,0.5345528455284553,0.41044714731898735,0.3560371517027864,0.5889628411446562
MLP,OSULeaf,55,90,0.9449999928474426,0.5103785103785103,0.4346214824689323,0.3800738007380074,0.5649261921094353
MLP,OSULeaf,5,90,0.9449999928474426,0.5464938126104891,0.3985061802369535,0.5433691756272402,0.40163081722020244
MLP,OSULeaf,60,90,0.9449999928474426,0.5446756425948592,0.4003243502525834,0.32410611303344866,0.620893879813994
MLP,OSULeaf,65,90,0.9449999928474426,0.49860335195530725,0.4463966408921354,0.3398876404494382,0.6051123523980044
MLP,OSULeaf,70,90,0.9449999928474426,0.4839609483960948,0.4610390444513478,0.314404432132964,0.6305955607144786
MLP,OSULeaf,75,90,0.9449999928474426,0.49747899159663866,0.44752100125080396,0.31840796019900497,0.6265920326484377
MLP,OSULeaf,80,90,0.9449999928474426,0.5123558484349259,0.43264414441251675,0.30130293159609123,0.6436970612513514
MLP,OSULeaf,85,90,0.9449999928474426,0.5016722408026756,0.44332775204476704,0.28378378378378377,0.6612162090636589
MLP,OSULeaf,90,90,0.9449999928474426,0.4745762711864407,0.47042372166100194,0.341991341991342,0.6030086508561006
