classifier,dataset,perturbation,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inverse_tp,change_inverse_tp
MLP,OSULeaf,mean,100,95,0.9449999928474426,0.38751345532831,0.5574865375191327,0.22820236813778255,0.7167976247096601
MLP,OSULeaf,mean,100,90,0.9449999928474426,0.4856887298747764,0.4593112629726662,0.28354203935599287,0.6614579534914498
MLP,OSULeaf,mean,100,85,0.9449999928474426,0.5114309906858594,0.43356900216158323,0.29974597798475866,0.645254014862684
MLP,OSULeaf,mean,100,80,0.9449999928474426,0.5179615705931495,0.4270384222542931,0.30492898913951544,0.6400710037079271
MLP,OSULeaf,mean,100,75,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,mean,100,70,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,mean,100,65,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,mean,100,60,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,mean,100,55,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,mean,100,50,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,zero,100,95,0.9449999928474426,0.38751345532831,0.5574865375191327,0.22820236813778255,0.7167976247096601
MLP,OSULeaf,zero,100,90,0.9449999928474426,0.4856887298747764,0.4593112629726662,0.28354203935599287,0.6614579534914498
MLP,OSULeaf,zero,100,85,0.9449999928474426,0.5114309906858594,0.43356900216158323,0.29974597798475866,0.645254014862684
MLP,OSULeaf,zero,100,80,0.9449999928474426,0.5179615705931495,0.4270384222542931,0.30492898913951544,0.6400710037079271
MLP,OSULeaf,zero,100,75,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,zero,100,70,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,zero,100,65,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,zero,100,60,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,zero,100,55,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,zero,100,50,0.9449999928474426,0.5191666666666667,0.42583332618077596,0.30666666666666664,0.638333326180776
MLP,OSULeaf,mean,105,95,0.9449999928474426,0.367003367003367,0.5779966258440756,0.2536475869809203,0.6913524058665224
MLP,OSULeaf,mean,105,90,0.9449999928474426,0.45042492917847027,0.49457506366897236,0.28800755429650615,0.6569924385509365
MLP,OSULeaf,mean,105,85,0.9449999928474426,0.4743011722272317,0.4706988206202109,0.3011722272317403,0.6438277656157023
MLP,OSULeaf,mean,105,80,0.9449999928474426,0.4840989399293286,0.460901052918114,0.3030035335689046,0.6419964592785381
MLP,OSULeaf,mean,105,75,0.9449999928474426,0.49698535745047373,0.4480146353969689,0.3049095607235142,0.6400904321239285
MLP,OSULeaf,mean,105,70,0.9449999928474426,0.5029736618521665,0.4420263309952761,0.30671197960917584,0.6382880132382668
MLP,OSULeaf,mean,105,65,0.9449999928474426,0.5075757575757576,0.43742423527168506,0.30723905723905726,0.6377609356083853
MLP,OSULeaf,mean,105,60,0.9449999928474426,0.509639564124057,0.43536042872338565,0.3076278290025147,0.6373721638449279
MLP,OSULeaf,mean,105,55,0.9449999928474426,0.5125,0.43249999284744267,0.30833333333333335,0.6366666595141093
MLP,OSULeaf,mean,105,50,0.9449999928474426,0.5125,0.43249999284744267,0.30833333333333335,0.6366666595141093
MLP,OSULeaf,zero,105,95,0.9449999928474426,0.367003367003367,0.5779966258440756,0.2536475869809203,0.6913524058665224
MLP,OSULeaf,zero,105,90,0.9449999928474426,0.45042492917847027,0.49457506366897236,0.28800755429650615,0.6569924385509365
MLP,OSULeaf,zero,105,85,0.9449999928474426,0.4743011722272317,0.4706988206202109,0.3011722272317403,0.6438277656157023
MLP,OSULeaf,zero,105,80,0.9449999928474426,0.4840989399293286,0.460901052918114,0.3030035335689046,0.6419964592785381
