classifier,dataset,perturbation,distance_metric,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,BeetleFly,zero,dtw,54,90,1.0,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.3846153846153846
MLP,BeetleFly,zero,euclidean,54,90,1.0,0.7142857142857143,0.2857142857142857,0.6428571428571429,0.3571428571428571
MLP,BeetleFly,mean,dtw,60,90,1.0,0.75,0.25,0.25,0.75
MLP,BeetleFly,mean,euclidean,60,90,1.0,0.7692307692307693,0.23076923076923073,0.3076923076923077,0.6923076923076923
MLP,BeetleFly,zero,dtw,60,90,1.0,0.7692307692307693,0.23076923076923073,0.3076923076923077,0.6923076923076923
MLP,BeetleFly,zero,euclidean,60,90,1.0,0.7692307692307693,0.23076923076923073,0.3076923076923077,0.6923076923076923
MLP,BeetleFly,mean,dtw,66,90,1.0,0.6842105263157895,0.3157894736842105,0.3684210526315789,0.631578947368421
MLP,BeetleFly,mean,euclidean,66,90,1.0,0.7,0.30000000000000004,0.4,0.6
MLP,BeetleFly,zero,dtw,66,90,1.0,0.6842105263157895,0.3157894736842105,0.42105263157894735,0.5789473684210527
MLP,BeetleFly,zero,euclidean,66,90,1.0,0.6666666666666666,0.33333333333333337,0.38095238095238093,0.6190476190476191
MLP,BeetleFly,mean,dtw,6,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,mean,euclidean,6,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,zero,dtw,6,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,zero,euclidean,6,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,mean,dtw,72,90,1.0,0.7222222222222222,0.2777777777777778,0.6666666666666666,0.33333333333333337
MLP,BeetleFly,mean,euclidean,72,90,1.0,0.7368421052631579,0.26315789473684215,0.6842105263157895,0.3157894736842105
MLP,BeetleFly,zero,dtw,72,90,1.0,0.7368421052631579,0.26315789473684215,0.6842105263157895,0.3157894736842105
MLP,BeetleFly,zero,euclidean,72,90,1.0,0.7368421052631579,0.26315789473684215,0.6842105263157895,0.3157894736842105
MLP,BeetleFly,mean,dtw,78,90,1.0,0.6666666666666666,0.33333333333333337,0.4666666666666667,0.5333333333333333
MLP,BeetleFly,mean,euclidean,78,90,1.0,0.6666666666666666,0.33333333333333337,0.4666666666666667,0.5333333333333333
MLP,BeetleFly,zero,dtw,78,90,1.0,0.7058823529411765,0.2941176470588235,0.47058823529411764,0.5294117647058824
MLP,BeetleFly,zero,euclidean,78,90,1.0,0.6875,0.3125,0.5,0.5
MLP,BeetleFly,mean,dtw,84,90,1.0,0.8125,0.1875,0.5625,0.4375
